sourceName,sourceVersion,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,creationDate,startDate,endDate
Brian’s Apple Watch,4.3.2,Running,36.94670441746712,min,1.370505451009375,mi,282.7770000000011,kcal,2018-07-15 17:48:16 -0600,2018-07-15 16:57:25 -0600,2018-07-15 17:47:53 -0600
Brian’s Apple Watch,4.3.2,Running,60.04283366600672,min,1.289463566618968,mi,213.0159999999995,kcal,2018-07-15 19:13:10 -0600,2018-07-15 17:48:38 -0600,2018-07-15 19:13:04 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,42.71603314876556,min,0,mi,261.2589999999987,kcal,2018-07-16 17:38:44 -0600,2018-07-16 16:55:54 -0600,2018-07-16 17:38:37 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,65.25867106715837,min,0,mi,348.4280000000003,kcal,2018-07-17 06:01:23 -0600,2018-07-17 04:56:01 -0600,2018-07-17 06:01:17 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,30.29035979906718,min,0,mi,203.8569999999986,kcal,2018-07-18 05:39:34 -0600,2018-07-18 05:09:11 -0600,2018-07-18 05:39:28 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,52.77090198397637,min,0,mi,349.3550000000001,kcal,2018-07-18 17:52:17 -0600,2018-07-18 16:59:26 -0600,2018-07-18 17:52:13 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,28.35828026731809,min,0,mi,315.7899999999997,kcal,2018-07-19 16:52:36 -0600,2018-07-19 16:24:08 -0600,2018-07-19 16:52:29 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,48.5791941165924,min,0,mi,404.6009999999985,kcal,2018-07-20 05:58:11 -0600,2018-07-20 05:09:29 -0600,2018-07-20 05:58:03 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,62.15820866624514,min,0,mi,400.2850000000032,kcal,2018-07-20 17:38:32 -0600,2018-07-20 16:36:17 -0600,2018-07-20 17:38:27 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,48.80532426635424,min,0,mi,338.8369999999996,kcal,2018-07-21 08:26:02 -0600,2018-07-21 07:37:07 -0600,2018-07-21 08:25:56 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,37.90064623355865,min,0,mi,197.9559999999993,kcal,2018-07-21 16:39:57 -0600,2018-07-21 16:01:55 -0600,2018-07-21 16:39:49 -0600
Brian’s Apple Watch,4.3.2,Cycling,48.29295358459155,min,0,mi,471.0870000000002,kcal,2018-07-22 09:19:49 -0600,2018-07-22 08:31:16 -0600,2018-07-22 09:19:34 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,68.82621579964956,min,0,mi,438.0219999999992,kcal,2018-07-23 17:50:33 -0600,2018-07-23 16:41:26 -0600,2018-07-23 17:50:15 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,45.85954856673877,min,0,mi,302.621,kcal,2018-07-24 05:51:39 -0600,2018-07-24 05:05:41 -0600,2018-07-24 05:51:33 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,50.00286754965782,min,0,mi,439.0719999999994,kcal,2018-07-24 17:26:39 -0600,2018-07-24 16:36:27 -0600,2018-07-24 17:26:27 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,62.81899521748225,min,0,mi,403.9039999999986,kcal,2018-07-25 17:56:18 -0600,2018-07-25 16:53:23 -0600,2018-07-25 17:56:12 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,28.08877576788267,min,0,mi,279.4619999999994,kcal,2018-07-26 13:45:38 -0600,2018-07-26 13:17:27 -0600,2018-07-26 13:45:32 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,50.69613866607348,min,0,mi,370.3629999999997,kcal,2018-07-30 17:54:55 -0600,2018-07-30 17:04:04 -0600,2018-07-30 17:54:45 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,60.0125868499279,min,0,mi,506.4550000000004,kcal,2018-07-31 05:39:13 -0600,2018-07-31 04:39:05 -0600,2018-07-31 05:39:06 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,46.21492726604144,min,0,mi,377.6420000000002,kcal,2018-07-31 17:44:32 -0600,2018-07-31 16:58:11 -0600,2018-07-31 17:44:24 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,53.6097543656826,min,0,mi,307.1929999999989,kcal,2018-08-01 06:03:13 -0600,2018-08-01 05:09:32 -0600,2018-08-01 06:03:09 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,35.76052804986636,min,0,mi,250.7939999999991,kcal,2018-08-01 15:47:09 -0600,2018-08-01 15:11:12 -0600,2018-08-01 15:46:57 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,63.99032576680183,min,0,mi,477.4829999999988,kcal,2018-08-03 05:56:59 -0600,2018-08-03 04:52:54 -0600,2018-08-03 05:56:54 -0600
